player_name,player_display_name,position,ros_projected_points,weeks_remaining,avg_weekly_projection,opponents,projected_points,last_week_played,last_season_played,avg_last_3_games,injury_status,injury_multiplier,overall_rank,position_rank
K.Shakir,Khalil Shakir,WR,81.64580535888672,8,10.20572566986084,"TB,HOU,PIT,CIN,NE,CLE,PHI,NYJ",10.20572566986084,9.0,2025.0,12.700000000000005,,1.0,173,34.0
T.Franklin,Troy Franklin,WR,81.57138061523438,8,10.196422576904297,"KC,BYE,WAS,LV,GB,JAX,KC,LAC",10.196422576904297,9.0,2025.0,14.3,,1.0,174,35.0
J.Johnson,Juwan Johnson,TE,81.2687759399414,8,10.158596992492676,"BYE,ATL,MIA,TB,CAR,NYJ,TEN,ATL",10.158596992492676,9.0,2025.0,8.9,,1.0,175,12.0
D.Henderson,Darrell Henderson,RB,81.09932708740234,8,10.137415885925293,"SEA,TB,CAR,ARI,DET,SEA,ATL,ARI",,,,,,,176,
B.Maher,B.Maher,K,80.99202728271484,8,10.124003410339355,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,177,
C.Carson,Chris Carson,RB,80.9197998046875,8,10.114974975585938,"LA,TEN,MIN,ATL,IND,LA,CAR,SF",,,,,,,178,
Z.Ertz,Zachary Ertz,TE,80.74661254882812,8,10.093326568603516,"MIA,BYE,DEN,MIN,NYG,PHI,DAL,PHI",10.093326568603516,9.0,2025.0,11.533333333333331,,1.0,179,13.0
S.Sloman,S.Sloman,K,80.5611801147461,8,10.070147514343262,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,180,
J.Mason,Jordan Mason,RB,80.54739379882812,8,10.068424224853516,"CHI,GB,SEA,WAS,DAL,NYG,DET,GB",10.068424224853516,9.0,2025.0,9.3,,1.0,181,23.0
T.Huntley,Tyler Huntley,QB,80.40625,8,10.05078125,"CLE,NYJ,CIN,PIT,CIN,NE,GB,PIT",10.05078125,8.0,2025.0,13.166666666666666,,1.0,182,33.0
J.Myers,J.Myers,K,80.39884948730469,8,10.049856185913086,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",10.049856185913086,9.0,2025.0,7.333333333333333,,1.0,183,4.0
