player_name,position,projected_points,last_week_played,last_season_played,player_display_name,avg_last_3_games,snap_pct,recent_pass_attempts,recent_rush_attempts,injury_status,injury_multiplier,recent_targets,overall_rank,position_rank
Ty.Johnson,RB,3.375551223754883,9,2025,Ty Johnson,1.0333333333333343,,,2.0,,1.0,2.0,319,77.0
T.Jones,WR,3.305704116821289,9,2025,Tim Jones,2.3666666666666667,,,0.0,,1.0,1.0,320,116.0
P.Bryant,WR,3.2965800762176514,9,2025,Patrick Bryant,5.933333333333334,,,0.0,,1.0,3.0,321,117.0
S.Williams,WR,3.2960201025009157,9,2025,Savion Williams,4.5,,,1.0,Questionable,0.9,2.0,322,118.0
H.Bryant,TE,3.290648174285889,9,2025,Harrison Bryant,0.4999999999999994,,,0.0,Questionable,0.9,2.0,323,61.0
E.Demercado,RB,3.284003257751465,9,2025,Emari Demercado,6.099999999999999,,,14.0,,1.0,1.0,324,78.0
A.Lazard,WR,3.262990713119507,8,2025,Allen Lazard,2.233333333333336,,,0.0,,1.0,2.0,325,119.0
A.Smith,WR,3.256535053253174,8,2025,Arian Smith,1.1333333333333335,,,0.0,,1.0,1.0,326,120.0
J.Ruckert,TE,3.252959966659546,8,2025,Jeremy Ruckert,3.0000000000000004,,,0.0,,1.0,1.0,327,62.0
B.Yurosek,TE,3.214904308319092,8,2025,Benjamin Yurosek,,,,0.0,,1.0,2.0,328,63.0
L.Allen,RB,3.213090658187866,9,2025,LeQuint Allen,1.7666666666666668,,,1.0,,1.0,1.0,329,79.0
H.Luepke,RB,3.2126009464263916,8,2025,Hunter Luepke,4.0,,,1.0,,1.0,0.0,330,80.0
G.Olszewski,WR,3.138275623321533,9,2025,Kaleb Olszewski,1.8,,,0.0,,1.0,1.0,331,121.0
J.Stoll,TE,3.1315429687500003,8,2025,Jack Stoll,3.9333333333333336,,,0.0,Questionable,0.9,1.0,332,64.0
A.Ingold,RB,3.0622293949127197,8,2025,Alec Ingold,2.2666666666666666,,,0.0,,1.0,1.0,333,81.0
J.Chestnut,RB,3.050532579421997,8,2025,Julius Chestnut,0.9666666666666665,,,2.0,,1.0,0.0,334,82.0
D.Sills,WR,3.034048318862915,9,2025,David Sills,2.266666666666667,,,0.0,,1.0,1.0,335,122.0
T.Fisk,TE,3.003743886947632,9,2025,Tucker Fisk,0.6,,,0.0,,1.0,1.0,336,65.0
K.Raymond,WR,2.9980883598327637,9,2025,Kalif Raymond,3.133333333333333,,,0.0,,1.0,1.0,337,123.0
D.Sampson,RB,2.9889163970947266,8,2025,Dylan Sampson,2.766666666666667,,,3.0,,1.0,6.0,338,83.0
C.Samuel,WR,2.967278003692627,9,2025,Curtis Samuel,8.23333333333333,,,0.0,,1.0,1.0,339,124.0
M.Davis,RB,2.837662935256958,9,2025,Malik Davis,3.466666666666667,,,1.0,,1.0,0.0,340,84.0
G.Holani,RB,2.8216960430145264,9,2025,George Holani,2.7,,,3.0,,1.0,0.0,341,85.0
K.Johnson,RB,2.7746100425720215,9,2025,Kaleb Johnson,1.2666666666666668,,,1.0,,1.0,1.0,342,86.0
A.Hooper,TE,2.762796401977539,9,2025,Austin Hooper,5.466666666666666,,,0.0,,1.0,1.0,343,66.0
D.Allen,TE,2.7317328453063965,9,2025,Davis Allen,2.5,,,0.0,,1.0,4.0,344,67.0
D.Neal,RB,2.7189748287200928,9,2025,Devin Neal,1.7,,,3.0,,1.0,1.0,345,87.0
M.Tinsley,WR,2.5797393321990967,9,2025,Mitchell Tinsley,3.4000000000000004,,,0.0,,1.0,2.0,346,125.0
J.Hawes,TE,2.467778444290161,9,2025,Jackson Hawes,4.5,,,0.0,,1.0,2.0,347,68.0
B.Brooks,RB,2.408616304397583,9,2025,British Brooks,0.85,,,2.0,,1.0,0.0,348,88.0
T.Horton,WR,2.328066825866699,9,2025,Tory Horton,4.3,,,0.0,Doubtful,0.5,4.0,349,126.0
E.Moore,WR,2.0430757999420166,9,2025,Elijah Moore,0.8000000000000013,,,0.0,,1.0,1.0,350,127.0
X.Smith,WR,1.962172508239746,9,2025,Xavier Smith,2.9,,,0.0,,1.0,3.0,351,128.0
B.Sinnott,TE,1.9202079772949219,8,2025,Ben Sinnott,1.5666666666666669,,,0.0,,1.0,1.0,352,69.0
J.FitzPatrick,TE,0.9754253029823303,8,2025,John FitzPatrick,4.0,,,0.0,,1.0,1.0,353,70.0
K.Fairbairn,K,0.0,9,2025,,11.666666666666666,,,,Out,0.0,,354,32.0
C.Stroud,QB,0.0,9,2025,Coleridge Stroud,21.38,,12.0,2.0,Out,0.0,,355,37.0
T.Kraft,TE,0.0,9,2025,Tucker Kraft,20.8,,,0.0,IR,0.0,3.0,356,71.0
B.Collins,WR,0.0,8,2025,Beaux Collins,0.8500000000000001,,,0.0,Out,0.0,2.0,357,129.0
T.McLaurin,WR,0.0,8,2025,Terry McLaurin,8.299999999999995,,,0.0,Out,0.0,4.0,358,129.0
K.Boutte,WR,0.0,9,2025,Kayshon Boutte,18.766666666666666,,,0.0,Out,0.0,1.0,359,129.0
D.Eskridge,WR,0.0,9,2025,D'Wayne Eskridge,2.7666666666666675,,,0.0,Out,0.0,1.0,360,129.0
I.Bond,WR,0.0,8,2025,Isaiah Bond,5.533333333333334,,,0.0,Out,0.0,4.0,361,129.0
B.Thomas,WR,0.0,9,2025,Brian Thomas,13.699999999999998,,,0.0,Out,0.0,5.0,362,129.0
D.Moore,WR,0.0,9,2025,Denniston Moore,9.333333333333329,,,1.0,IR,0.0,6.0,363,129.0
M.Mims,WR,0.0,8,2025,Marvin Mims,8.166666666666666,,,3.0,Out,0.0,1.0,364,129.0
L.McCaffrey,WR,0.0,8,2025,Luke McCaffrey,5.433333333333333,,,0.0,IR,0.0,3.0,365,129.0
C.Wentz,QB,0.0,8,2025,Carson Wentz,15.086666666666671,,32.0,0.0,IR,0.0,,366,37.0
N.Adkins,TE,0.0,8,2025,Nate Adkins,4.766666666666667,,,0.0,Out,0.0,1.0,367,71.0
J.Daniels,QB,0.0,9,2025,Jayden Daniels,20.17333333333333,,26.0,10.0,Out,0.0,,368,37.0
I.Pacheco,RB,0.0,8,2025,Isiah Pacheco,9.033333333333337,,,12.0,Out,0.0,0.0,369,89.0
S.Perine,RB,0.0,9,2025,Samaje Perine,8.433333333333337,,,1.0,Out,0.0,0.0,370,89.0
J.Wright,RB,0.0,8,2025,Jaylen Wright,1.0666666666666669,,,9.0,Out,0.0,1.0,371,89.0
J.Blue,RB,0.0,8,2025,Jaydon Blue,1.7000000000000002,,,8.0,Out,0.0,0.0,372,89.0
C.Skattebo,RB,0.0,8,2025,Cameron Skattebo,21.933333333333334,,,3.0,IR,0.0,2.0,373,89.0
R.Stevenson,RB,0.0,8,2025,Rhamondre Stevenson,11.766666666666667,,,14.0,Out,0.0,2.0,374,89.0
H.Long,TE,0.0,9,2025,Hunter Long,2.9333333333333336,,,0.0,Out,0.0,3.0,375,71.0
G.Gano,K,0.0,9,2025,,8.0,,,,Out,0.0,,376,32.0
